Province,Males,Females
Prince Edward Island,"84,790","85,898"
Nova Scotia,"500,620","519,105"
New Brunswick,"403,234","408,827"
Quebec,"4,352,890","4,342,769"
Ontario,"7,473,772","7,635,644"
Manitoba,"704,350","704,873"
Saskatchewan,"601,221","593,582"
Alberta,"2,282,015","2,261,096"
British Columbia,"2,628,580","2,690,744"
